tweet,label
"Buat apa naro sticker di kursi/lantai KRL kalo petugas nya jg ttp ngebolehin org"" masuk ke dalam pdhl udh jelas2 full bgt, desek2an (esp during rush hours) dan jelas"" gak physical distancing samsek? 

make it make sense.",0
"@Swamy39 @KanganaTeam i hope aap dono news dekh rahe honge. 
Kya reporters physical distancing ka palan kar rhe hai? @PMOIndia 
Itne aazad hai kya reporters??? 
@",-1
"Pipol bee laik : ""Apa itu physical Distancing, Saatnya berwisata""  pic.twitter.com/xIbHdu1Ugz",0
Main boleh tapii janlup physical distancing yaaaaaaaaaaaaaaaaa😀😀😀😀😀😀,1
"Physical Distancing NO
Untung udh mkn roti di Mobil, Klw gak bisa pingsan, cari seat 😂😂  pic.twitter.com/h7p22pkUgI",1
"Stress liat kasus covid di sumbar, makin stres liat orang2 nongkrong sana sini, ga pake masker, ga ada physical distancing☺️
Kalo ga penting2 bgt dirumah aja ya please🙂",0
Physical distancing dan pemakaian masker sementara diabaikan dulu.,0
"bag letak atas seat, kaki pijak seat...physical distancing is not an excuse....",-1
"Electrizen, yuk tetap jaga jarak fisik atau physical distancing minimal 2 meter yah untuk kebaikan bersama. #AdaptasiKebiasaanBaruPLN #COVIDSafeBUMN #PLNRangers #PowerBeyondGenerations  https://www.instagram.com/p/CEyPOiMDxoRnjIMtjG4e5AR-RK4yjGVoPSXfns0/?igshid=v31h5asn3d59 …",1
"Adaptasi Kebiasaan Baru, Pahami Social Distancing dan Physical Distancing, Mencegah Covid-19. #BersatuLawanCorona #adaptasikebiasaanbaru pic.twitter.com/hLLwCf5UrF",1
Yg ini physical distancing gak? Kok adem” aja jahhh  pic.twitter.com/DyodgONIvm,0
Apaitu physical distancing???????,0
"Physical distancing mbak, gabole peluk2.",1
"Budayakan hidup bersih personel Polsek kuaro melaks. Kurve bersama, serta menerapkan protokol kesehatan untuk mencegah penularan Covid-19.
#bersamalawancovid19
#rajincucitanganpakaisabun
#pakaimasker
#physicaldistancing
#menujuadaptasikebiasaanbaru
#patuhiprotokolkesehatan pic.twitter.com/gZJGFWQfL9",1
T-tapi harus physical distancing:(,1
"𝐉𝐀𝐍𝐆𝐀𝐍 𝐀𝐋𝐏𝐀!

Terus patuhi SOP yang telah ditetapkan dan amalkan kawalan kendiri agar kita dapat putuskan penularan wabak COVID-19.

#KitaJagaKita
#KitaMestiMenang
#NormaBaharu
#WearAMask
#PakaiPelitupMuka
#PenjarakanFizikal
#Jarak1Meter
#PhysicalDistancing  pic.twitter.com/7VIVS2pzn9",1
"Lha iya..dikira beli oxymeter buat gaya2an dan jadi guarantee bs nongkrong seenaknya.

Oxymeter jd alat bantu indikator (apalagi ada fenomena happy hypoxia).

Physical distancing, masker, sering cuci tangan tetap dilakukan dgn disiplin.

Bisa dijalankan bersamaan.",1
"Di dalam ruangan kelas ini kewajiban guru untuk memperingatkan murid2 yg abaikan physical distancing
#StopBebalTerapkan3m",1
"[ kukerta-DR day 6 ]

Selamat siang semuanya !!!

Hari ini ayu mau ngasih informasi nih tentang physical distancing, 
Pasti udah gak asing kan sama kata2 itu...
Yuk simak informasi nya

#kukertadaringUINbanten2020
#kukertaModerasiBeragamaPertama
#kukertaAmanProduktifMasaCovid-19 pic.twitter.com/0SxFxaB2lC",-1
"Hahahahanjing liat story temen di IG, satnite rame2 di kafe yg waktu ntu viral (l*ngit s*duh). No physical distancing, no mask, and they looked really happy as if corona never existed☺☺☺",0
Physical distancing. Merapat buat apa nih?,1
"[KUKERTA DARING UIN SMH BANTEN KELOMPOK 91]

Edukasi mengenai ""Perbedaan Sosial Distancing dan Physical Distancing""

Semoga Bermanfaat
@KukertaD
#KukertaDaringUINBanten2020
#KukertaModerasiBeragamaPertama
#KukertaAmanProduktifMasaCovid-19 pic.twitter.com/uLMJbf7UPw",-1
"Gallerian lagi viewing rumah contoh North West Central.  Masuknya harus antri, 3 orang saja sekali masuk. Prosedur Physical Distancing diterapkan oleh Developer. 😊 
Asyiiknya menjadi property agent. Banyak teman,…  https://www.instagram.com/p/CEx85zLlBPZ/?igshid=1et0x62753obq …",1
biar apa kak kan lagi physical distancing gaboleh dekat2,1
"Krn menimbulkan kerancuan di benak sy, dr laman berikut dijelaskan bahwa penggunaan masker tdk disarankan jg utk orang yg sdg melakukan aktivitas berat spti berlari, yg menimbulkan kesulitan bernafas, tp ttp harus memperhatikan physical distancing
 https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cloth-face-cover-guidance.html …",1
*jpf manga tahun 80-an mempraktikkan physical distancing  pic.twitter.com/2kmv09Y3ur,1
